sample_id,sampling_tier,source_baseline,record_id,doi,paper_title,route,formulation_label,policy_level,policy_first_verified,pipeline_status_v4,failure_reasons_v4,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time,endpoint_time_unit,endpoint_normalized_value,endpoint_normalized_unit,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,device,study_type,barrier,membrane_type,membrane_source,membrane_thickness_um,receptor_medium,dose_type,dose_amount,diffusion_area_cm2,key_table_figure_to_check,paper_link,card_path,gold_api_correct,gold_concentration_correct,gold_device_correct,gold_endpoint_kind_correct,gold_endpoint_time_correct,gold_membrane_correct,gold_endpoint_value_correct,gold_endpoint_value_note,gold_excipient_correct,gold_receptor_medium_correct,gold_dose_type_correct,gold_scope_correct,gold_value_correct,gold_keep_record,gold_notes
R2-012,tier1_gpt_v4_verified_all,gpt,record_256fed3f4d2f,10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,mixed,Ibuprofen Control,v3,v3,verified,,amount_per_area,167.78,ug/cm2/h,6,hours,167.78,ug/cm^2,Ibuprofen,,,,,Franz diffusion cell,IVPT,bovine split skin,bovine split skin,,200,,,296 g,1.77,"Table 1; page(s): 2, 3, 4, 5, 6",https://doi.org/10.1186/2050-6511-13-5,gold_set_round2_record_cards\R2-012_record_256fed3f4d2f.md,yes,no,yes,yes,yes,yes,yes,,yes,no,no,no,yes,no,"concentration was not extracted, it states 10 mg/L (1.0%w/v); dose type is infinite dose; recepter medium is PBS ph 7.4"
R2-013,tier1_gpt_v4_verified_all,gpt,record_3ec6644ba612,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F1,v2,v2,verified,,amount_total,1142.4,ug,72,h,1785,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-013_record_3ec6644ba612.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K100. "
R2-014,tier1_gpt_v4_verified_all,gpt,record_453da10d1ec5,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F1,v2,v2,verified,,amount_total,536.5,ug,48,h,838.28125,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-014_record_453da10d1ec5.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K101."
R2-015,tier1_gpt_v4_verified_all,gpt,record_d16c057fc54f,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F1,v2,v2,verified,,amount_total,298,ug,24,h,465.625,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-015_record_d16c057fc54f.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K102."
R2-016,tier1_gpt_v4_verified_all,gpt,record_3672e05a60e6,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F2,v2,v2,verified,,amount_total,580.2,ug,48,h,906.5625,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-016_record_3672e05a60e6.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K103."
R2-017,tier1_gpt_v4_verified_all,gpt,record_6ef7cb7d4ade,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F2,v2,v2,verified,,amount_total,155.9,ug,24,h,243.59375,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-017_record_6ef7cb7d4ade.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K104."
R2-018,tier1_gpt_v4_verified_all,gpt,record_7f1a8e76ddde,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F2,v2,v2,verified,,amount_total,1178.9,ug,72,h,1842.03125,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-018_record_7f1a8e76ddde.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K105."
R2-019,tier1_gpt_v4_verified_all,gpt,record_94fdeacead82,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F3,v2,v2,verified,,amount_total,543.5,ug,48,h,849.21875,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-019_record_94fdeacead82.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K106."
R2-020,tier1_gpt_v4_verified_all,gpt,record_a8b14ec9c84e,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F3,v2,v2,verified,,amount_total,759.6,ug,72,h,1186.875,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-020_record_a8b14ec9c84e.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K107."
R2-021,tier1_gpt_v4_verified_all,gpt,record_dc0536190cb0,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F3,v2,v2,verified,,amount_total,140.2,ug,24,h,219.0625,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-021_record_dc0536190cb0.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K108."
R2-022,tier1_gpt_v4_verified_all,gpt,record_59963ee27e78,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F4,v2,v2,verified,,amount_total,132.3,ug,24,h,206.71875,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-022_record_59963ee27e78.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K109."
R2-023,tier1_gpt_v4_verified_all,gpt,record_764e4aa71249,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F4,v2,v2,verified,,amount_total,734.4,ug,72,h,1147.5,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-023_record_764e4aa71249.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K110."
R2-024,tier1_gpt_v4_verified_all,gpt,record_eb5e98f7f8bb,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F4,v2,v2,verified,,amount_total,464.8,ug,48,h,726.25,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-024_record_eb5e98f7f8bb.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K111."
R2-025,tier1_gpt_v4_verified_all,gpt,record_83a3f9b0e06e,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F5,v2,v2,verified,,amount_total,312.3,ug,24,h,487.96875,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-025_record_83a3f9b0e06e.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K112."
R2-026,tier1_gpt_v4_verified_all,gpt,record_9424b5553135,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F5,v2,v2,verified,,amount_total,799.5,ug,72,h,1249.21875,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-026_record_9424b5553135.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K113."
R2-027,tier1_gpt_v4_verified_all,gpt,record_bbc291658e05,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F5,v2,v2,verified,,amount_total,542.5,ug,48,h,847.65625,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-027_record_bbc291658e05.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K114."
R2-028,tier1_gpt_v4_verified_all,gpt,record_c83676244c03,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F6,v2,v2,verified,,amount_total,148.8,ug,24,h,232.5,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-028_record_c83676244c03.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K115."
R2-029,tier1_gpt_v4_verified_all,gpt,record_cff9534403d5,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F6,v2,v2,verified,,amount_total,551.2,ug,48,h,861.25,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-029_record_cff9534403d5.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K116."
R2-030,tier1_gpt_v4_verified_all,gpt,record_d9fc1e579464,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F6,v2,v2,verified,,amount_total,808,ug,72,h,1262.5,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-030_record_d9fc1e579464.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K117."
R2-031,tier1_gpt_v4_verified_all,gpt,record_1bf5e1e73737,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F7,v2,v2,verified,,amount_total,387.9,ug,72,h,606.09375,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-031_record_1bf5e1e73737.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K118."
R2-032,tier1_gpt_v4_verified_all,gpt,record_771853ae9097,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F7,v2,v2,verified,,amount_total,260.1,ug,48,h,406.40625,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-032_record_771853ae9097.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K119."
R2-033,tier1_gpt_v4_verified_all,gpt,record_8451385f5434,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F7,v2,v2,verified,,amount_total,123.9,ug,24,h,193.59375,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-033_record_8451385f5434.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K120."
R2-034,tier1_gpt_v4_verified_all,gpt,record_6378b97946c2,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F8,v2,v2,verified,,amount_total,734.4,ug,72,h,1147.5,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-034_record_6378b97946c2.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K121."
R2-035,tier1_gpt_v4_verified_all,gpt,record_6a484a2ea1ad,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F8,v2,v2,verified,,amount_total,464.8,ug,48,h,726.25,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-035_record_6a484a2ea1ad.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K122."
