claude_record_id,doi,formulation_label,endpoint_time_h,endpoint_value,policy_v2,policy_v3,policy_v4,matched_gpt_record_id,gpt_in_round2_gold,gold_label_inherited,gold_endpoint_value_correct_inherited,needs_new_annotation,match_reason,gold_keep_record,gold_endpoint_value_correct,gold_endpoint_value_note,gold_notes,final_gold_keep_record,final_gold_endpoint_value_correct,gold_label_source
record_6378b97946c2,10.1208/s12249-013-9995-4,F8,72.0,734.4,yes,yes,yes,record_6378b97946c2,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_680d383d11b3,10.1248/cpb.c21-00033,#2,8.0,10.0,no,yes,yes,,False,,,True,no_gpt_record_same_doi,no,no,"The endpoint value is in Figure 3(b), and there are 9 formulations, the range seems from 3 umol/cm^2 ~ 32 umol/cm^2.    ","the endpoint was located a wrong place, it should be Fig. 3b, and there are 9 different formulations in fig.",no,no,new_annotation
record_68421bba5cec,10.1248/cpb.c21-00033,#1,8.0,10.0,no,yes,yes,,False,,,True,no_gpt_record_same_doi,no,no,"The endpoint value is in Figure 3(b), and there are 9 formulations, the range seems from 3 umol/cm^2 ~ 32 umol/cm^2.    ","the endpoint was located a wrong place, it should be Fig. 3b, and there are 9 different formulations in fig.",no,no,new_annotation
record_6a484a2ea1ad,10.1208/s12249-013-9995-4,F8,48.0,464.8,yes,yes,yes,record_6a484a2ea1ad,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_6ef7cb7d4ade,10.1208/s12249-013-9995-4,F2,24.0,155.9,yes,yes,yes,record_6ef7cb7d4ade,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_7490da0d3c66,10.1248/cpb.c21-00033,#5,8.0,10.0,no,yes,yes,,False,,,True,no_gpt_record_same_doi,no,no,"The endpoint value is in Figure 3(b), and there are 9 formulations, the range seems from 3 umol/cm^2 ~ 32 umol/cm^2.    ","the endpoint was located a wrong place, it should be Fig. 3b, and there are 9 different formulations in fig.",no,no,new_annotation
record_764e4aa71249,10.1208/s12249-013-9995-4,F4,72.0,734.4,yes,yes,yes,record_764e4aa71249,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_771853ae9097,10.1208/s12249-013-9995-4,F7,48.0,260.1,yes,yes,yes,record_771853ae9097,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_7f1a8e76ddde,10.1208/s12249-013-9995-4,F2,72.0,1178.9,yes,yes,yes,record_7f1a8e76ddde,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_83a3f9b0e06e,10.1208/s12249-013-9995-4,F5,24.0,312.3,yes,yes,yes,record_83a3f9b0e06e,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_8451385f5434,10.1208/s12249-013-9995-4,F7,24.0,123.9,yes,yes,yes,record_8451385f5434,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_93126011b4da,10.1186/2050-6511-13-5,Ibuprofen – Control,6.0,1.92,no,no,yes,,False,,,True,same_doi_formulation_time_no_value_match,no,yes,,"The endpoint is not Flux, it's apparent permeability coefficient.",no,yes,new_annotation
record_9424b5553135,10.1208/s12249-013-9995-4,F5,72.0,799.5,yes,yes,yes,record_9424b5553135,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_94fdeacead82,10.1208/s12249-013-9995-4,F3,48.0,543.5,yes,yes,yes,record_94fdeacead82,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_a1bb31150869,10.1186/2050-6511-13-5,Ibuprofen – 200 μm microneedle,6.0,4.21,no,no,yes,,False,,,True,same_doi_no_formulation_match,no,yes,,"The endpoint is not Flux, it's apparent permeability coefficient.",no,yes,new_annotation
record_a8b14ec9c84e,10.1208/s12249-013-9995-4,F3,72.0,759.6,yes,yes,yes,record_a8b14ec9c84e,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_b0d3bc96b995,10.1248/cpb.c21-00033,#7,8.0,10.0,no,yes,yes,,False,,,True,no_gpt_record_same_doi,no,no,"The endpoint value is in Figure 3(b), and there are 9 formulations, the range seems from 3 umol/cm^2 ~ 32 umol/cm^2.    ","the endpoint was located a wrong place, it should be Fig. 3b, and there are 9 different formulations in fig.",no,no,new_annotation
record_b2c674a09bff,10.1248/cpb.c21-00033,#8,8.0,10.0,no,yes,yes,,False,,,True,no_gpt_record_same_doi,no,no,"The endpoint value is in Figure 3(b), and there are 9 formulations, the range seems from 3 umol/cm^2 ~ 32 umol/cm^2.    ","the endpoint was located a wrong place, it should be Fig. 3b, and there are 9 different formulations in fig.",no,no,new_annotation
record_b595315133cb,10.1186/2050-6511-13-5,Ibuprofen – 200 μm microneedle,6.0,23.4,no,yes,yes,,False,,,True,same_doi_no_formulation_match,no,no,"The endpoint value is wrong, the paper states 167.78 μg/cm²/h for Ibuprofen – Control.",The endpoint value was extracted wrong. The endpoint kind is Flux.,no,no,new_annotation
record_b8450d40a00a,10.1186/2050-6511-13-5,Ibuprofen – 200 μm microneedle,6.0,368.69,no,no,yes,,False,,,True,same_doi_no_formulation_match,yes,yes,,,yes,yes,new_annotation
record_bb1cbf1d5f0b,10.1186/2050-6511-13-5,Ibuprofen – 300 μm microneedle,6.0,5.27,no,no,yes,,False,,,True,same_doi_no_formulation_match,no,yes,,"The endpoint is not Flux, it's apparent permeability coefficient.",no,yes,new_annotation
record_bbc291658e05,10.1208/s12249-013-9995-4,F5,48.0,542.5,yes,yes,yes,record_bbc291658e05,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_c823d905d9ab,10.1248/cpb.c21-00033,#4,8.0,10.0,no,yes,yes,,False,,,True,no_gpt_record_same_doi,no,no,"The endpoint value is in Figure 3(b), and there are 9 formulations, the range seems from 3 umol/cm^2 ~ 32 umol/cm^2.    ","the endpoint was located a wrong place, it should be Fig. 3b, and there are 9 different formulations in fig.",no,no,new_annotation
record_c83676244c03,10.1208/s12249-013-9995-4,F6,24.0,148.8,yes,yes,yes,record_c83676244c03,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_cff9534403d5,10.1208/s12249-013-9995-4,F6,48.0,551.2,yes,yes,yes,record_cff9534403d5,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_d16c057fc54f,10.1208/s12249-013-9995-4,F1,24.0,298.0,yes,yes,yes,record_d16c057fc54f,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_d9fc1e579464,10.1208/s12249-013-9995-4,F6,72.0,808.0,yes,yes,yes,record_d9fc1e579464,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_dc0536190cb0,10.1208/s12249-013-9995-4,F3,24.0,140.2,yes,yes,yes,record_dc0536190cb0,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_dd3d59a50f07,10.1248/cpb.c21-00033,text_2,8.0,2.35,no,no,yes,,False,,,True,no_gpt_record_same_doi,no,yes,,This record is same with 'record_625975cc9b8d'.,no,yes,new_annotation
record_e0c6a4b1b913,10.1186/2050-6511-13-5,Ibuprofen – Control,6.0,167.78,no,no,yes,record_256fed3f4d2f,True,no,yes,False,doi_formulation_time_value_match,,,,,no,yes,inherited_gpt_round2
record_eb5e98f7f8bb,10.1208/s12249-013-9995-4,F4,48.0,464.8,yes,yes,yes,record_eb5e98f7f8bb,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_efda20e2468c,10.1248/cpb.c21-00033,text_1,8.0,1.18,no,no,yes,,False,,,True,no_gpt_record_same_doi,yes,yes,,,yes,yes,new_annotation
record_f014c92e4f9a,10.1208/s12249-013-9995-4,F8,24.0,132.3,yes,yes,yes,record_f014c92e4f9a,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_f7c477c76555,10.1248/cpb.c21-00033,#10,8.0,10.0,no,yes,yes,,False,,,True,no_gpt_record_same_doi,no,no,"The endpoint value is in Figure 3(b), and there are 9 formulations, the range seems from 3 umol/cm^2 ~ 32 umol/cm^2.    ","the endpoint was located a wrong place, it should be Fig. 3b, and there are 9 different formulations in fig.",no,no,new_annotation
record_f8d0d6249889,10.1186/2050-6511-13-5,Ibuprofen – 300 μm microneedle,6.0,23.4,no,yes,yes,,False,,,True,same_doi_no_formulation_match,no,no,"The endpoint value is wrong, the paper states 167.78 μg/cm²/h for Ibuprofen – Control.",The endpoint value was extracted wrong. The endpoint kind is Flux.,no,no,new_annotation
